"id","vector","h","s","v"
"george-washington","#564439","0.0632183908045977","0.337209302325581","0.337254901960784"
"william-harrison","#A46138","0.0632716049382716","0.658536585365854","0.643137254901961"
"william-mckinley","#160901","0.0634920634920635","0.954545454545455","0.0862745098039216"
"millard-fillmore","#C08865","0.0641025641025641","0.473958333333333","0.752941176470588"
"james-garfield","#623214","0.0641025641025641","0.795918367346939","0.384313725490196"
"william-harrison","#B7744A","0.0642201834862385","0.595628415300546","0.717647058823529"
"zachary-taylor","#5C4130","0.0643939393939394","0.478260869565217","0.36078431372549"
"george-washington","#6C5140","0.0643939393939394","0.407407407407407","0.423529411764706"
"thomas-jefferson","#885A3D","0.0644444444444445","0.551470588235294","0.533333333333333"
"andrew-johnson","#AA6B43","0.0647249190938511","0.605882352941176","0.666666666666667"
"william-taft","#372C25","0.0648148148148148","0.327272727272727","0.215686274509804"
"jq-adams","#9B7760","0.0649717514124294","0.380645161290323","0.607843137254902"
"jq-adams","#B17F5F","0.0650406504065041","0.463276836158192","0.694117647058824"
"benjamin-harrison","#341B0B","0.0650406504065041","0.788461538461538","0.203921568627451"
"john-tyler","#816858","0.0650406504065041","0.317829457364341","0.505882352941176"
"jq-adams","#734C33","0.0651041666666667","0.556521739130435","0.450980392156863"
"herbert-hoover","#74472A","0.0653153153153153","0.637931034482759","0.454901960784314"
"andrew-johnson","#331400","0.065359477124183","1","0.2"
"martin-van-buren","#E2B293","0.0654008438818565","0.349557522123894","0.886274509803922"
"andrew-jackson","#AE8C76","0.0654761904761905","0.32183908045977","0.682352941176471"
"james-polk","#2D1C11","0.0654761904761905","0.622222222222222","0.176470588235294"
"james-madison","#C47A4A","0.0655737704918033","0.622448979591837","0.768627450980392"
"w-bush","#5E4A3D","0.0656565656565657","0.351063829787234","0.368627450980392"
"theodore-roosevelt","#C08F6F","0.065843621399177","0.421875","0.752941176470588"
"grover-cleveland","#4A301F","0.065891472868217","0.581081081081081","0.290196078431373"
"harry-truman","#472D1C","0.0658914728682171","0.605633802816901","0.27843137254902"
"gerald-ford","#87522F","0.0662878787878788","0.651851851851852","0.529411764705882"
"andrew-johnson","#AD724B","0.0663265306122449","0.566473988439306","0.67843137254902"
"william-harrison","#946749","0.0666666666666667","0.506756756756757","0.580392156862745"
"andrew-johnson","#834C27","0.0670289855072464","0.702290076335878","0.513725490196078"
"warren-harding","#5E3316","0.0671296296296296","0.765957446808511","0.368627450980392"
"john-kennedy","#462712","0.0673076923076923","0.742857142857143","0.274509803921569"
"george-washington","#674B38","0.0673758865248227","0.456310679611651","0.403921568627451"
"bill-clinton","#CD9874","0.0674157303370786","0.434146341463415","0.803921568627451"
"woodrow-wilson","#D48C5B","0.0674931129476584","0.570754716981132","0.831372549019608"
"franklin-pierce","#8D5E3E","0.0675105485232068","0.560283687943262","0.552941176470588"
"hw-bush","#321F12","0.0677083333333333","0.64","0.196078431372549"
"abraham-lincoln","#643E24","0.0677083333333333","0.64","0.392156862745098"
"harry-truman","#7C4926","0.0678294573643411","0.693548387096774","0.486274509803922"
"thomas-jefferson","#6B4B35","0.0679012345679012","0.504672897196262","0.419607843137255"
"rutherford-hayes","#261910","0.0681818181818182","0.578947368421053","0.149019607843137"
"benjamin-harrison","#7F4E2C","0.0682730923694779","0.653543307086614","0.498039215686275"
"james-madison","#786456","0.0686274509803921","0.283333333333333","0.470588235294118"
"grover-cleveland","#5E4330","0.0688405797101449","0.48936170212766","0.368627450980392"
"calvin-coolidge","#A46E48","0.0688405797101449","0.560975609756098","0.643137254901961"
"william-taft","#462B18","0.0688405797101449","0.657142857142857","0.274509803921569"
"andrew-johnson","#46240C","0.0689655172413793","0.828571428571429","0.274509803921569"
"hw-bush","#D98A52","0.0691358024691358","0.622119815668203","0.850980392156863"
"grover-cleveland","#D7996D","0.0691823899371069","0.493023255813954","0.843137254901961"
"calvin-coolidge","#552808","0.0692640692640693","0.905882352941176","0.333333333333333"
"w-bush","#563A26","0.0694444444444444","0.558139534883721","0.337254901960784"
"w-bush","#37302B","0.0694444444444444","0.218181818181818","0.215686274509804"
"warren-harding","#3B1F0B","0.0694444444444444","0.813559322033898","0.231372549019608"
"james-madison","#7D614D","0.0694444444444444","0.384","0.490196078431373"
"james-madison","#56331A","0.0694444444444444","0.697674418604651","0.337254901960784"
"rutherford-hayes","#935E38","0.0695970695970696","0.619047619047619","0.576470588235294"
"jimmy-carter","#895027","0.0697278911564626","0.715328467153285","0.537254901960784"
"warren-harding","#905327","0.0698412698412698","0.729166666666667","0.564705882352941"
"zachary-taylor","#5A3D28","0.07","0.555555555555556","0.352941176470588"
"herbert-hoover","#C88A5D","0.0700934579439252","0.535","0.784313725490196"
"james-buchanan","#EDC1A1","0.0701754385964912","0.320675105485232","0.929411764705882"
"zachary-taylor","#A77E60","0.0704225352112676","0.425149700598802","0.654901960784314"
"jq-adams","#F2C5A4","0.0705128205128205","0.322314049586777","0.949019607843137"
"harry-truman","#51331D","0.0705128205128205","0.641975308641975","0.317647058823529"
"jimmy-carter","#E7A371","0.0706214689265537","0.510822510822511","0.905882352941176"
"rutherford-hayes","#5B3112","0.0707762557077626","0.802197802197802","0.356862745098039"
"warren-harding","#482D19","0.0709219858156028","0.652777777777778","0.282352941176471"
"john-adams","#B29783","0.0709219858156029","0.264044943820225","0.698039215686274"
"jq-adams","#856146","0.0714285714285714","0.473684210526316","0.52156862745098"
"gerald-ford","#B5794C","0.0714285714285714","0.580110497237569","0.709803921568627"
"herbert-hoover","#674328","0.0714285714285714","0.611650485436893","0.403921568627451"
"andrew-johnson","#B97D50","0.0714285714285714","0.567567567567568","0.725490196078431"
"franklin-pierce","#6B472C","0.0714285714285714","0.588785046728972","0.419607843137255"
"william-harrison","#C38251","0.0716374269005848","0.584615384615385","0.764705882352941"
"calvin-coolidge","#9E6941","0.0716845878136201","0.588607594936709","0.619607843137255"
"woodrow-wilson","#8A5D3B","0.0717299578059072","0.572463768115942","0.541176470588235"
"abraham-lincoln","#B78E6F","0.0717592592592593","0.39344262295082","0.717647058823529"
"thomas-jefferson","#4E2D14","0.0718390804597701","0.743589743589744","0.305882352941176"
"theodore-roosevelt","#533620","0.0718954248366013","0.614457831325301","0.325490196078431"
"rutherford-hayes","#F5B27F","0.0720338983050847","0.481632653061224","0.96078431372549"
